1:	INT. BARBIZON PLAZA THEATRE - DRESSING ROOM - NIGHT (1964):	['JAKE']
76:	INT. "JAKE LAMOTTA'S" - NIGHT (1956):	['JAKE', "JAKE (CONT'D)", "JAKE (CONT'D)", 'JAKE', "JAKE (CONT'D)", 'JAKE', 'JAKE', 'JAKE', 'RICKY', 'JAKE', 'WAITRESS', 'JAKE']
77:	EXT. "JAKE LAMOTTA'S" - DAY:	['VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', "VICKIE (CONT'D)"]
78:	INT. JAKE'S OFFICE - DAY (JAN.,):	['JAKE', 'JAKE', 'JAKE', 'JAKE', 'JAKE', 'JAKE', 'JAKE', 'CLOSE UP of picture.']
79:	EXT. JAKE'S MIAMI HOUSE - DAY:	['JAKE', 'VICKIE', 'JAKE', "JAKE (CONT'D)", 'VICKIE', 'JAKE', 'VICKIE']
80:	INT. JAKE'S MIAMI HOUSE - DAY:	['VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE']
81:	INT. JEWELRY SHOP - DAY:	['JEWELER', 'JAKE', 'JEWELER', 'JAKE', 'JEWELER']
82:	EXT. PHONE BOOTH - DAY:	['JAKE']
83:	INT. BARBIZON DRESSING ROOM - NIGHT:	['JAKE']
84:	INT. DADE COUNTY STOCKADE - DAY:	None
85:	INT. THE HOLE - DAY OR NIGHT:	["ROBINSON's."]
86:	INTO injects novacaine into JAKE's fists.:	None
87:	INTO begins to examine it.:	['JAKE stares.']
88:	INTO injects novocaine into JAKE's:	['JAKE', "JAKE (CONT'D)", "JAKE (CONT'D)", "JAKE (CONT'D)"]
89:	INT. METROPOLE - NIGHT (1958):	['JAKE', "JAKE (CONT'D)", "JAKE (CONT'D)"]
90:	EXT. METROPOLE - NIGHT:	['JAKE', 'OK?', 'EMMA', 'JAKE']
91:	EXT. PARKING LOT - NIGHT:	None
92:	INTO A MEDIUM SHOT of JAKE waiting by the parking lot.:	['JAKE', "JAKE (CONT'D)", "JAKE (CONT'D)", "JAKE (CONT'D)", "JAKE (CONT'D)", "JAKE (CONT'D)", "JAKE (CONT'D)", "JAKE (CONT'D)"]
93:	EXT. BARBIZON PLAZA THEATER - NIGHT (1964):	None
94:	INT. BARBIZON DRESSING ROOM - NIGHT:	['JAKE', 'STAGEHAND (O.S.)', 'JAKE', 'STAGEHAND (O.S.)', 'JAKE', 'OK.']
